ppl: 3.6177423000335693
tensor(2.4646, device='cuda:0')
tensor(2.4578, device='cuda:0')
tensor(2.4749, device='cuda:0')
tensor(1.3470, device='cuda:0')
tensor(1.0934, device='cuda:0')
tensor(1.3238, device='cuda:0')
tensor(1.4654, device='cuda:0')
tensor(2.1122, device='cuda:0')
tensor(1.2475, device='cuda:0')
tensor(1.1292, device='cuda:0')
tensor(1.5231, device='cuda:0')
tensor(1.5382, device='cuda:0')
tensor(1.3945, device='cuda:0')
tensor(1.1515, device='cuda:0')
tensor(1.1991, device='cuda:0')
tensor(1.2300, device='cuda:0')
tensor(1.2846, device='cuda:0')
tensor(1.2396, device='cuda:0')
tensor(1.1436, device='cuda:0')
tensor(1.2463, device='cuda:0')
tensor(1.3729, device='cuda:0')
tensor(1.3087, device='cuda:0')
tensor(0.5024, device='cuda:0')
tensor(0.3899, device='cuda:0')
tensor(0.3798, device='cuda:0')
tensor(0.8168, device='cuda:0')
tensor(1.8831, device='cuda:0')
tensor(1.0677, device='cuda:0')
tensor(0.6823, device='cuda:0')
tensor(0.5551, device='cuda:0')
tensor(1.2540, device='cuda:0')
tensor(1.0367, device='cuda:0')
tensor(1.2227, device='cuda:0')
tensor(0.9387, device='cuda:0')
tensor(1.5378, device='cuda:0')
tensor(1.1021, device='cuda:0')
tensor(0.6292, device='cuda:0')
tensor(1.8122, device='cuda:0')
tensor(1.7614, device='cuda:0')
tensor(1.3067, device='cuda:0')
tensor(1.2689, device='cuda:0')
tensor(1.0972, device='cuda:0')
tensor(1.0758, device='cuda:0')
tensor(0.9205, device='cuda:0')
tensor(0.8881, device='cuda:0')
tensor(1.0584, device='cuda:0')
tensor(1.5640, device='cuda:0')
tensor(1.6372, device='cuda:0')
tensor(1.3238, device='cuda:0')
tensor(1.9563, device='cuda:0')
tensor(2.3325, device='cuda:0')
tensor(2.1963, device='cuda:0')
tensor(1.5103, device='cuda:0')
tensor(2.0327, device='cuda:0')
tensor(1.0968, device='cuda:0')
tensor(1.1062, device='cuda:0')
tensor(1.1483, device='cuda:0')
tensor(0.7914, device='cuda:0')
tensor(0.9445, device='cuda:0')
tensor(0.7855, device='cuda:0')
tensor(0.7081, device='cuda:0')
tensor(0.7228, device='cuda:0')
tensor(1.0233, device='cuda:0')
tensor(1.0778, device='cuda:0')
tensor(1.0306, device='cuda:0')
tensor(0.9646, device='cuda:0')
tensor(0.7826, device='cuda:0')
tensor(1.1910, device='cuda:0')
tensor(0.8776, device='cuda:0')
tensor(0.7053, device='cuda:0')
tensor(0.6588, device='cuda:0')
tensor(0.5835, device='cuda:0')
tensor(1.5093, device='cuda:0')
tensor(1.6499, device='cuda:0')
tensor(1.8405, device='cuda:0')
tensor(1.2118, device='cuda:0')
tensor(1.0445, device='cuda:0')
tensor(1.0658, device='cuda:0')
tensor(1.0113, device='cuda:0')
tensor(1.0200, device='cuda:0')
tensor(0.8764, device='cuda:0')
tensor(1.0545, device='cuda:0')
tensor(0.9203, device='cuda:0')
tensor(0.8077, device='cuda:0')
tensor(1.2185, device='cuda:0')
tensor(1.5737, device='cuda:0')
tensor(1.2901, device='cuda:0')
tensor(1.2451, device='cuda:0')
tensor(1.3499, device='cuda:0')
tensor(1.0648, device='cuda:0')
tensor(1.1905, device='cuda:0')
tensor(1.0297, device='cuda:0')
tensor(1.3473, device='cuda:0')
tensor(1.2568, device='cuda:0')
tensor(1.2873, device='cuda:0')
tensor(1.3638, device='cuda:0')
tensor(1.3641, device='cuda:0')
tensor(1.2704, device='cuda:0')
tensor(2.4934, device='cuda:0')
tensor(1.2514, device='cuda:0')
tensor(0.7058, device='cuda:0')
tensor(0.3536, device='cuda:0')
tensor(0.7679, device='cuda:0')
tensor(0.2383, device='cuda:0')
tensor(0.2367, device='cuda:0')
tensor(0.2780, device='cuda:0')
tensor(0.1844, device='cuda:0')
tensor(0.1796, device='cuda:0')
tensor(0.7337, device='cuda:0')
tensor(0.6897, device='cuda:0')
tensor(0.3481, device='cuda:0')
tensor(0.3569, device='cuda:0')
tensor(1.7308, device='cuda:0')
tensor(2.2439, device='cuda:0')
tensor(1.3190, device='cuda:0')
tensor(1.5167, device='cuda:0')
tensor(1.8122, device='cuda:0')
tensor(1.5600, device='cuda:0')
tensor(1.6538, device='cuda:0')
tensor(1.4520, device='cuda:0')
tensor(1.3698, device='cuda:0')
tensor(1.0997, device='cuda:0')
tensor(1.1906, device='cuda:0')
tensor(1.6727, device='cuda:0')
tensor(1.7500, device='cuda:0')
tensor(1.1296, device='cuda:0')
tensor(1.2789, device='cuda:0')
tensor(1.8200, device='cuda:0')
tensor(1.4793, device='cuda:0')
tensor(1.6479, device='cuda:0')
tensor(1.7264, device='cuda:0')
tensor(1.6671, device='cuda:0')
tensor(1.4088, device='cuda:0')
tensor(1.0955, device='cuda:0')
tensor(1.1257, device='cuda:0')
tensor(1.2919, device='cuda:0')
tensor(1.5132, device='cuda:0')
tensor(1.2171, device='cuda:0')
tensor(1.5010, device='cuda:0')
tensor(1.3920, device='cuda:0')
tensor(1.3816, device='cuda:0')
tensor(1.2340, device='cuda:0')
tensor(1.0973, device='cuda:0')
tensor(1.5031, device='cuda:0')
tensor(1.4398, device='cuda:0')
tensor(1.7619, device='cuda:0')
tensor(1.9363, device='cuda:0')
tensor(1.4374, device='cuda:0')
tensor(1.3538, device='cuda:0')
tensor(1.6359, device='cuda:0')
tensor(1.6068, device='cuda:0')
