ppl: 3.125267267227173
tensor(1.0778, device='cuda:0')
tensor(1.3936, device='cuda:0')
tensor(1.2567, device='cuda:0')
tensor(1.0443, device='cuda:0')
tensor(1.1636, device='cuda:0')
tensor(1.1297, device='cuda:0')
tensor(1.2439, device='cuda:0')
tensor(1.0748, device='cuda:0')
tensor(1.1224, device='cuda:0')
tensor(1.0513, device='cuda:0')
tensor(1.2938, device='cuda:0')
tensor(1.5004, device='cuda:0')
tensor(1.2127, device='cuda:0')
tensor(1.2944, device='cuda:0')
tensor(1.1947, device='cuda:0')
tensor(1.1326, device='cuda:0')
tensor(1.1992, device='cuda:0')
tensor(0.8661, device='cuda:0')
tensor(0.8513, device='cuda:0')
tensor(0.8805, device='cuda:0')
tensor(0.8975, device='cuda:0')
tensor(1.3885, device='cuda:0')
tensor(1.1337, device='cuda:0')
tensor(1.0665, device='cuda:0')
tensor(0.8778, device='cuda:0')
tensor(0.8590, device='cuda:0')
tensor(0.7553, device='cuda:0')
tensor(0.9489, device='cuda:0')
tensor(0.9156, device='cuda:0')
tensor(0.8088, device='cuda:0')
tensor(1.1491, device='cuda:0')
tensor(0.9026, device='cuda:0')
tensor(0.9962, device='cuda:0')
tensor(0.8283, device='cuda:0')
tensor(1.2029, device='cuda:0')
tensor(2.0964, device='cuda:0')
tensor(1.4036, device='cuda:0')
tensor(1.9013, device='cuda:0')
tensor(1.3474, device='cuda:0')
tensor(1.4722, device='cuda:0')
tensor(1.8688, device='cuda:0')
tensor(1.1544, device='cuda:0')
tensor(0.8801, device='cuda:0')
tensor(1.0748, device='cuda:0')
tensor(0.7355, device='cuda:0')
tensor(0.7319, device='cuda:0')
tensor(0.6595, device='cuda:0')
tensor(0.7147, device='cuda:0')
tensor(0.9987, device='cuda:0')
tensor(0.7013, device='cuda:0')
tensor(1.1994, device='cuda:0')
tensor(1.2604, device='cuda:0')
tensor(1.1727, device='cuda:0')
tensor(1.1118, device='cuda:0')
tensor(1.5086, device='cuda:0')
tensor(1.7063, device='cuda:0')
tensor(0.9680, device='cuda:0')
tensor(1.0185, device='cuda:0')
tensor(0.7300, device='cuda:0')
tensor(1.1755, device='cuda:0')
tensor(1.5552, device='cuda:0')
tensor(0.4344, device='cuda:0')
tensor(0.6931, device='cuda:0')
tensor(0.4296, device='cuda:0')
tensor(0.7544, device='cuda:0')
tensor(0.5205, device='cuda:0')
tensor(0.6583, device='cuda:0')
tensor(0.5456, device='cuda:0')
tensor(0.6138, device='cuda:0')
tensor(0.8785, device='cuda:0')
tensor(0.7016, device='cuda:0')
tensor(0.8602, device='cuda:0')
tensor(0.8292, device='cuda:0')
tensor(1.3162, device='cuda:0')
tensor(0.7998, device='cuda:0')
tensor(1.2606, device='cuda:0')
tensor(1.4213, device='cuda:0')
tensor(1.5176, device='cuda:0')
tensor(1.2251, device='cuda:0')
tensor(1.1680, device='cuda:0')
tensor(1.3076, device='cuda:0')
tensor(1.0211, device='cuda:0')
tensor(1.2539, device='cuda:0')
tensor(1.0908, device='cuda:0')
tensor(1.2336, device='cuda:0')
tensor(1.3469, device='cuda:0')
tensor(1.3390, device='cuda:0')
tensor(1.3458, device='cuda:0')
tensor(1.0488, device='cuda:0')
tensor(1.2603, device='cuda:0')
tensor(1.4384, device='cuda:0')
tensor(1.4691, device='cuda:0')
tensor(1.0985, device='cuda:0')
tensor(1.0839, device='cuda:0')
tensor(1.1167, device='cuda:0')
tensor(1.0354, device='cuda:0')
tensor(0.9825, device='cuda:0')
tensor(0.7697, device='cuda:0')
tensor(0.8075, device='cuda:0')
tensor(1.1398, device='cuda:0')
tensor(1.6063, device='cuda:0')
tensor(1.3405, device='cuda:0')
tensor(0.9811, device='cuda:0')
tensor(0.9743, device='cuda:0')
tensor(1.0867, device='cuda:0')
tensor(1.1041, device='cuda:0')
tensor(1.0239, device='cuda:0')
tensor(0.8075, device='cuda:0')
tensor(0.8753, device='cuda:0')
tensor(1.0218, device='cuda:0')
tensor(1.0793, device='cuda:0')
tensor(0.8834, device='cuda:0')
tensor(1.0071, device='cuda:0')
tensor(1.0572, device='cuda:0')
tensor(0.9624, device='cuda:0')
tensor(0.8500, device='cuda:0')
tensor(1.2587, device='cuda:0')
tensor(0.9823, device='cuda:0')
tensor(0.7756, device='cuda:0')
tensor(0.6712, device='cuda:0')
tensor(0.5957, device='cuda:0')
tensor(0.7879, device='cuda:0')
tensor(0.6886, device='cuda:0')
tensor(0.7131, device='cuda:0')
tensor(0.6492, device='cuda:0')
tensor(1.1151, device='cuda:0')
tensor(1.8672, device='cuda:0')
tensor(1.8631, device='cuda:0')
tensor(1.4901, device='cuda:0')
tensor(1.1214, device='cuda:0')
tensor(1.2775, device='cuda:0')
tensor(1.2527, device='cuda:0')
tensor(1.1385, device='cuda:0')
tensor(1.0856, device='cuda:0')
tensor(1.2036, device='cuda:0')
tensor(1.2364, device='cuda:0')
tensor(1.3052, device='cuda:0')
tensor(1.2149, device='cuda:0')
tensor(1.3254, device='cuda:0')
tensor(1.1412, device='cuda:0')
tensor(1.1023, device='cuda:0')
tensor(1.5136, device='cuda:0')
tensor(1.1312, device='cuda:0')
tensor(1.0309, device='cuda:0')
tensor(1.3061, device='cuda:0')
tensor(1.1482, device='cuda:0')
tensor(1.2634, device='cuda:0')
tensor(1.1774, device='cuda:0')
tensor(1.1419, device='cuda:0')
tensor(1.0957, device='cuda:0')
tensor(1.5023, device='cuda:0')
tensor(1.3410, device='cuda:0')
tensor(1.1373, device='cuda:0')
tensor(1.1769, device='cuda:0')
tensor(1.2452, device='cuda:0')
tensor(1.3082, device='cuda:0')
tensor(1.3897, device='cuda:0')
tensor(1.1430, device='cuda:0')
tensor(0.9632, device='cuda:0')
tensor(1.1450, device='cuda:0')
tensor(1.3197, device='cuda:0')
tensor(1.7161, device='cuda:0')
tensor(1.1677, device='cuda:0')
tensor(1.0626, device='cuda:0')
tensor(0.8872, device='cuda:0')
tensor(1.0266, device='cuda:0')
tensor(0.8365, device='cuda:0')
tensor(0.9067, device='cuda:0')
tensor(0.9961, device='cuda:0')
tensor(1.3204, device='cuda:0')
tensor(1.0615, device='cuda:0')
tensor(1.2675, device='cuda:0')
tensor(1.5012, device='cuda:0')
tensor(1.4437, device='cuda:0')
tensor(0.9965, device='cuda:0')
tensor(1.0690, device='cuda:0')
tensor(1.1425, device='cuda:0')
tensor(0.9968, device='cuda:0')
tensor(1.0934, device='cuda:0')
tensor(1.1395, device='cuda:0')
tensor(1.2364, device='cuda:0')
tensor(0.9578, device='cuda:0')
tensor(1.1924, device='cuda:0')
tensor(0.8449, device='cuda:0')
