ppl: 3.4328527450561523
tensor(1.3624, device='cuda:0')
tensor(1.2427, device='cuda:0')
tensor(1.0362, device='cuda:0')
tensor(1.2080, device='cuda:0')
tensor(1.1117, device='cuda:0')
tensor(1.0989, device='cuda:0')
tensor(1.3009, device='cuda:0')
tensor(1.0708, device='cuda:0')
tensor(1.0078, device='cuda:0')
tensor(1.1156, device='cuda:0')
tensor(1.2068, device='cuda:0')
tensor(1.0317, device='cuda:0')
tensor(1.2991, device='cuda:0')
tensor(1.1807, device='cuda:0')
tensor(1.2582, device='cuda:0')
tensor(1.2834, device='cuda:0')
tensor(1.6371, device='cuda:0')
tensor(1.2597, device='cuda:0')
tensor(0.9712, device='cuda:0')
tensor(0.9076, device='cuda:0')
tensor(1.0097, device='cuda:0')
tensor(1.0439, device='cuda:0')
tensor(1.0460, device='cuda:0')
tensor(1.2005, device='cuda:0')
tensor(1.7696, device='cuda:0')
tensor(1.8714, device='cuda:0')
tensor(2.0434, device='cuda:0')
tensor(1.5004, device='cuda:0')
tensor(1.5199, device='cuda:0')
tensor(0.9575, device='cuda:0')
tensor(0.6889, device='cuda:0')
tensor(0.5950, device='cuda:0')
tensor(0.5804, device='cuda:0')
tensor(1.1020, device='cuda:0')
tensor(1.9514, device='cuda:0')
tensor(1.5333, device='cuda:0')
tensor(0.8563, device='cuda:0')
tensor(0.7238, device='cuda:0')
tensor(0.6984, device='cuda:0')
tensor(0.5588, device='cuda:0')
tensor(1.1153, device='cuda:0')
tensor(1.3683, device='cuda:0')
tensor(1.0552, device='cuda:0')
tensor(1.1466, device='cuda:0')
tensor(0.9234, device='cuda:0')
tensor(1.0328, device='cuda:0')
tensor(1.0309, device='cuda:0')
tensor(1.0373, device='cuda:0')
tensor(1.1676, device='cuda:0')
tensor(1.3773, device='cuda:0')
tensor(1.0751, device='cuda:0')
tensor(1.0766, device='cuda:0')
tensor(1.0959, device='cuda:0')
tensor(1.0041, device='cuda:0')
tensor(1.1982, device='cuda:0')
tensor(0.9476, device='cuda:0')
tensor(1.1821, device='cuda:0')
tensor(0.8749, device='cuda:0')
tensor(0.9566, device='cuda:0')
tensor(1.9301, device='cuda:0')
tensor(1.0740, device='cuda:0')
tensor(1.2652, device='cuda:0')
tensor(1.1211, device='cuda:0')
tensor(1.1118, device='cuda:0')
tensor(1.2285, device='cuda:0')
tensor(1.2130, device='cuda:0')
tensor(0.9641, device='cuda:0')
tensor(1.2491, device='cuda:0')
tensor(1.0205, device='cuda:0')
tensor(1.3375, device='cuda:0')
tensor(1.5501, device='cuda:0')
tensor(1.7788, device='cuda:0')
tensor(1.5395, device='cuda:0')
tensor(1.3673, device='cuda:0')
tensor(0.8432, device='cuda:0')
tensor(0.9365, device='cuda:0')
tensor(0.8995, device='cuda:0')
tensor(0.7495, device='cuda:0')
tensor(1.0374, device='cuda:0')
tensor(0.7957, device='cuda:0')
tensor(0.8981, device='cuda:0')
tensor(0.8845, device='cuda:0')
tensor(0.8803, device='cuda:0')
tensor(1.0078, device='cuda:0')
tensor(1.2494, device='cuda:0')
tensor(1.2148, device='cuda:0')
tensor(0.7528, device='cuda:0')
tensor(0.9104, device='cuda:0')
tensor(0.7883, device='cuda:0')
tensor(1.1108, device='cuda:0')
tensor(0.8540, device='cuda:0')
tensor(1.0775, device='cuda:0')
tensor(0.8281, device='cuda:0')
tensor(1.3069, device='cuda:0')
tensor(0.9765, device='cuda:0')
tensor(0.8900, device='cuda:0')
tensor(0.9168, device='cuda:0')
tensor(0.7668, device='cuda:0')
tensor(0.8538, device='cuda:0')
tensor(0.9242, device='cuda:0')
tensor(0.8248, device='cuda:0')
tensor(0.9949, device='cuda:0')
tensor(1.1785, device='cuda:0')
tensor(1.2994, device='cuda:0')
tensor(1.0358, device='cuda:0')
tensor(0.8102, device='cuda:0')
tensor(0.8571, device='cuda:0')
tensor(1.0958, device='cuda:0')
tensor(1.5791, device='cuda:0')
tensor(2.6599, device='cuda:0')
tensor(2.6520, device='cuda:0')
tensor(2.6376, device='cuda:0')
tensor(2.7418, device='cuda:0')
tensor(1.6256, device='cuda:0')
tensor(1.4897, device='cuda:0')
tensor(1.5326, device='cuda:0')
tensor(1.4206, device='cuda:0')
tensor(2.0835, device='cuda:0')
tensor(1.1315, device='cuda:0')
tensor(1.0123, device='cuda:0')
tensor(1.4611, device='cuda:0')
tensor(1.4645, device='cuda:0')
tensor(1.2987, device='cuda:0')
tensor(1.0720, device='cuda:0')
tensor(1.1331, device='cuda:0')
tensor(1.1531, device='cuda:0')
tensor(1.1843, device='cuda:0')
tensor(1.1759, device='cuda:0')
tensor(1.0326, device='cuda:0')
tensor(1.1625, device='cuda:0')
tensor(1.2829, device='cuda:0')
tensor(1.1360, device='cuda:0')
tensor(0.4136, device='cuda:0')
tensor(0.3086, device='cuda:0')
tensor(0.3208, device='cuda:0')
tensor(0.6197, device='cuda:0')
tensor(1.9400, device='cuda:0')
tensor(1.0715, device='cuda:0')
tensor(0.6406, device='cuda:0')
tensor(0.5178, device='cuda:0')
tensor(1.1591, device='cuda:0')
tensor(0.9219, device='cuda:0')
tensor(1.1245, device='cuda:0')
tensor(0.8647, device='cuda:0')
tensor(1.4608, device='cuda:0')
tensor(1.0001, device='cuda:0')
tensor(0.6174, device='cuda:0')
tensor(1.8594, device='cuda:0')
tensor(1.7495, device='cuda:0')
tensor(1.2375, device='cuda:0')
tensor(1.1966, device='cuda:0')
tensor(0.9992, device='cuda:0')
tensor(0.9682, device='cuda:0')
tensor(0.8498, device='cuda:0')
tensor(0.8228, device='cuda:0')
tensor(1.0196, device='cuda:0')
tensor(1.4667, device='cuda:0')
tensor(1.5341, device='cuda:0')
tensor(1.2293, device='cuda:0')
