ppl: 4.1214704513549805
tensor(1.3828, device='cuda:0')
tensor(1.4968, device='cuda:0')
tensor(1.8659, device='cuda:0')
tensor(1.7822, device='cuda:0')
tensor(1.3357, device='cuda:0')
tensor(1.2085, device='cuda:0')
tensor(1.1956, device='cuda:0')
tensor(1.7038, device='cuda:0')
tensor(1.3745, device='cuda:0')
tensor(1.7133, device='cuda:0')
tensor(1.7526, device='cuda:0')
tensor(1.3007, device='cuda:0')
tensor(1.5219, device='cuda:0')
tensor(1.3101, device='cuda:0')
tensor(1.9558, device='cuda:0')
tensor(1.0063, device='cuda:0')
tensor(0.9715, device='cuda:0')
tensor(0.9012, device='cuda:0')
tensor(1.0940, device='cuda:0')
tensor(1.8858, device='cuda:0')
tensor(1.7107, device='cuda:0')
tensor(1.6892, device='cuda:0')
tensor(1.3695, device='cuda:0')
tensor(1.1378, device='cuda:0')
tensor(0.9839, device='cuda:0')
tensor(1.1455, device='cuda:0')
tensor(1.0812, device='cuda:0')
tensor(1.0313, device='cuda:0')
tensor(1.1867, device='cuda:0')
tensor(1.5334, device='cuda:0')
tensor(1.1345, device='cuda:0')
tensor(1.2034, device='cuda:0')
tensor(1.1532, device='cuda:0')
tensor(1.5473, device='cuda:0')
tensor(1.7988, device='cuda:0')
tensor(1.4238, device='cuda:0')
tensor(1.9258, device='cuda:0')
tensor(1.3952, device='cuda:0')
tensor(1.5644, device='cuda:0')
tensor(1.2985, device='cuda:0')
tensor(1.2349, device='cuda:0')
tensor(0.8955, device='cuda:0')
tensor(1.1645, device='cuda:0')
tensor(1.5763, device='cuda:0')
tensor(1.1690, device='cuda:0')
tensor(1.3268, device='cuda:0')
tensor(1.3568, device='cuda:0')
tensor(1.3299, device='cuda:0')
tensor(2.2634, device='cuda:0')
tensor(1.2219, device='cuda:0')
tensor(1.6493, device='cuda:0')
tensor(1.5290, device='cuda:0')
tensor(1.4996, device='cuda:0')
tensor(1.3079, device='cuda:0')
tensor(1.3913, device='cuda:0')
tensor(1.3000, device='cuda:0')
tensor(1.1663, device='cuda:0')
tensor(1.3331, device='cuda:0')
tensor(1.3838, device='cuda:0')
tensor(1.6186, device='cuda:0')
tensor(1.5773, device='cuda:0')
tensor(0.8557, device='cuda:0')
tensor(1.5255, device='cuda:0')
tensor(1.6482, device='cuda:0')
tensor(1.7525, device='cuda:0')
tensor(1.8157, device='cuda:0')
tensor(1.6904, device='cuda:0')
tensor(1.7490, device='cuda:0')
tensor(1.7171, device='cuda:0')
tensor(1.6150, device='cuda:0')
tensor(1.6556, device='cuda:0')
tensor(1.4721, device='cuda:0')
tensor(1.4084, device='cuda:0')
tensor(1.3124, device='cuda:0')
tensor(1.4612, device='cuda:0')
tensor(2.0136, device='cuda:0')
tensor(1.7927, device='cuda:0')
tensor(1.4110, device='cuda:0')
tensor(1.6296, device='cuda:0')
tensor(1.4640, device='cuda:0')
tensor(0.9781, device='cuda:0')
tensor(1.3614, device='cuda:0')
tensor(1.4236, device='cuda:0')
tensor(1.4591, device='cuda:0')
tensor(1.1949, device='cuda:0')
tensor(1.0378, device='cuda:0')
tensor(0.9813, device='cuda:0')
tensor(1.1763, device='cuda:0')
tensor(1.0954, device='cuda:0')
tensor(1.1069, device='cuda:0')
tensor(0.9028, device='cuda:0')
tensor(0.9485, device='cuda:0')
tensor(1.4839, device='cuda:0')
tensor(1.9354, device='cuda:0')
tensor(2.1316, device='cuda:0')
tensor(1.3518, device='cuda:0')
tensor(1.9627, device='cuda:0')
tensor(1.3978, device='cuda:0')
tensor(1.3494, device='cuda:0')
tensor(1.1874, device='cuda:0')
tensor(1.3375, device='cuda:0')
tensor(1.3718, device='cuda:0')
tensor(1.3915, device='cuda:0')
tensor(1.8259, device='cuda:0')
tensor(1.5914, device='cuda:0')
tensor(1.5473, device='cuda:0')
tensor(1.3839, device='cuda:0')
tensor(1.3837, device='cuda:0')
tensor(1.1913, device='cuda:0')
tensor(1.2561, device='cuda:0')
tensor(1.1942, device='cuda:0')
tensor(1.2787, device='cuda:0')
tensor(1.2231, device='cuda:0')
tensor(1.3201, device='cuda:0')
tensor(1.2686, device='cuda:0')
tensor(1.0542, device='cuda:0')
tensor(1.3239, device='cuda:0')
tensor(1.0915, device='cuda:0')
tensor(0.8577, device='cuda:0')
tensor(1.7102, device='cuda:0')
tensor(0.9323, device='cuda:0')
tensor(1.5290, device='cuda:0')
tensor(1.5883, device='cuda:0')
tensor(1.5814, device='cuda:0')
tensor(1.2536, device='cuda:0')
tensor(1.6087, device='cuda:0')
tensor(1.5373, device='cuda:0')
tensor(1.3029, device='cuda:0')
tensor(1.2991, device='cuda:0')
tensor(1.1554, device='cuda:0')
tensor(1.1462, device='cuda:0')
tensor(0.8374, device='cuda:0')
tensor(1.1465, device='cuda:0')
tensor(1.0318, device='cuda:0')
tensor(2.0380, device='cuda:0')
tensor(1.7826, device='cuda:0')
tensor(1.7538, device='cuda:0')
tensor(1.4528, device='cuda:0')
tensor(1.1977, device='cuda:0')
tensor(1.6811, device='cuda:0')
tensor(1.5230, device='cuda:0')
tensor(2.0511, device='cuda:0')
tensor(1.4682, device='cuda:0')
tensor(1.3648, device='cuda:0')
tensor(1.1621, device='cuda:0')
tensor(1.3003, device='cuda:0')
tensor(1.2882, device='cuda:0')
tensor(1.2926, device='cuda:0')
tensor(1.4617, device='cuda:0')
tensor(1.6090, device='cuda:0')
tensor(1.4070, device='cuda:0')
tensor(1.2141, device='cuda:0')
tensor(1.1776, device='cuda:0')
tensor(1.3582, device='cuda:0')
tensor(1.7806, device='cuda:0')
tensor(2.0181, device='cuda:0')
tensor(1.7060, device='cuda:0')
tensor(1.3918, device='cuda:0')
tensor(1.3691, device='cuda:0')
tensor(1.2701, device='cuda:0')
tensor(0.7852, device='cuda:0')
tensor(0.7553, device='cuda:0')
tensor(1.1912, device='cuda:0')
tensor(1.6941, device='cuda:0')
tensor(1.2564, device='cuda:0')
tensor(1.1714, device='cuda:0')
tensor(1.1733, device='cuda:0')
tensor(1.3695, device='cuda:0')
tensor(1.3717, device='cuda:0')
tensor(1.2996, device='cuda:0')
tensor(1.4097, device='cuda:0')
tensor(1.3984, device='cuda:0')
tensor(1.4089, device='cuda:0')
tensor(1.4163, device='cuda:0')
tensor(1.3344, device='cuda:0')
tensor(1.3305, device='cuda:0')
tensor(1.3848, device='cuda:0')
tensor(1.3039, device='cuda:0')
tensor(1.3657, device='cuda:0')
tensor(1.5950, device='cuda:0')
tensor(1.4552, device='cuda:0')
tensor(1.4030, device='cuda:0')
tensor(2.0966, device='cuda:0')
tensor(1.2533, device='cuda:0')
tensor(1.7724, device='cuda:0')
tensor(1.6933, device='cuda:0')
tensor(1.7678, device='cuda:0')
tensor(0.9939, device='cuda:0')
